"ModId","DefName","Field","Index","Source"
"2946679071","HAR_CO_Race_Chaoura_a","commandLabel","0","影跳び"
"2946679071","HAR_CO_Race_Chaoura_a","commandLabel","1","仇返し"
"2946679071","HAR_CO_Race_Chaoura_a","commandLabel","2","血狂い"
"2946679071","HAR_CO_Race_Chaoura_a","commandDesc","0","射程内任意のマスに瞬間移動します。"
"2946679071","HAR_CO_Race_Chaoura_a","commandDesc","1","暗闇にいる間、射撃してきた敵にワープしダメージを与える。再使用には3日の時間が必要となります。"
"2946679071","HAR_CO_Race_Chaoura_a","commandDesc","2","半径3マスに出血を強いる斬撃を放つ、攻撃を受けた敵は暗闇にいると更にダメージを受ける。"
"2946679071","HAR_CO_Race_Chaoura_z","commandLabel","0","ツェルシャヴィト"
"2946679071","HAR_CO_Race_Chaoura_z","commandLabel","1","シャマイムヘレヴ"
"2946679071","HAR_CO_Race_Chaoura_z","commandLabel","2","シャマイムヘレヴ"
"2946679071","HAR_CO_Race_Chaoura_z","commandLabel","3","ヘレル・バット・サハル"
"2946679071","HAR_CO_Race_Chaoura_z","commandLabel","4","ハティクヴァゾハル"
"2946679071","HAR_CO_Race_Chaoura_z","commandDesc","0","射程内任意のマスに瞬間移動する。"
"2946679071","HAR_CO_Race_Chaoura_z","commandDesc","1","射程内任意のマス付近に爆発弾を5つ発射する。"
"2946679071","HAR_CO_Race_Chaoura_z","commandDesc","2","射程内任意のマスに分裂弾を発射する。"
"2946679071","HAR_CO_Race_Chaoura_z","commandDesc","3","自身を中心に10マスの即死攻撃を行う。"
"2946679071","HAR_CO_Race_Chaoura_z","commandDesc","4","顕現臨界を初期化します。クールタイムは1日。"
"3153539856","HAR_EL_Race_Eveliet_a","commandLabel","0","アドムネシカ"
"3153539856","HAR_EL_Race_Eveliet_a","commandLabel","1","クリファレファイム"
"3153539856","HAR_EL_Race_Eveliet_a","commandLabel","2","カズラサーラ"
"3153539856","HAR_EL_Race_Eveliet_a","commandLabel","3","シャーバルガナン"
"3153539856","HAR_EL_Race_Eveliet_a","commandLabel","4","アコルミシュテ"
"3153539856","HAR_EL_Race_Eveliet_a","commandLabel","5","カナンフレンズ"
"3153539856","HAR_EL_Race_Eveliet_a","commandDesc","0","隣接する対象に噛みつき、吸血を行います。一回に付き[イシャの血杯]に3～6の血を補充します"
"3153539856","HAR_EL_Race_Eveliet_a","commandDesc","1","イヴリートの強化外殻を解放します。\n発動条件　：[イシャの血杯]　60以上\n発動コスト：[イシャの血杯]　5"
"3153539856","HAR_EL_Race_Eveliet_a","commandDesc","2","対象から半径3マスの衝撃波を発生させます。\n発動条件　：[イシャの血杯]　30以上\n発動コスト：[イシャの血杯]　3"
"3153539856","HAR_EL_Race_Eveliet_a","commandDesc","3","対象1マスに強力な一撃を与えます。\n発動条件　：[イシャの血杯]　50以上\n発動コスト：[イシャの血杯]　5"
"3153539856","HAR_EL_Race_Eveliet_a","commandDesc","4","対象から半径8マスの出血を強いる衝撃波を発生させます。\n発動条件　：[イシャの血杯]　100以上\n発動コスト：[イシャの血杯]　10"
"3153539856","HAR_EL_Race_Eveliet_a","commandDesc","5","眷属を召喚します。\n発動条件　：[イシャの血杯]　200以上\n発動コスト：[イシャの血杯]　100"
"2871413100","HAR_Idearn_Critias","commandLabel","0","アザーサイド"
"2871413100","HAR_Idearn_Critias","commandLabel","1","シーンアウト"
"2871413100","HAR_Idearn_Critias","commandLabel","2","テロスバシレイア"
"2871413100","HAR_Idearn_Critias","commandLabel","3","トゥレラバシレイア"
"2871413100","HAR_Idearn_Critias","commandLabel","4","ゲヘナバシレイア"
"2871413100","HAR_Idearn_Critias","commandDesc","0","自身にダメージ軽減のバリアを展開します。"
"2871413100","HAR_Idearn_Critias","commandDesc","1","射程内任意のマスに瞬間移動します。"
"2871413100","HAR_Idearn_Critias","commandDesc","2","【範囲:超大規模】自身を中心として20マスの「不可逆の精神崩壊」を起こす大爆発を発生させます。"
"2871413100","HAR_Idearn_Critias","commandDesc","3","【範囲:超大規模】自身を中心として20マスの「不可逆の狂暴化」を起こす大爆発を発生させます。"
"2871413100","HAR_Idearn_Critias","commandDesc","4","射程内任意のマスに、半径80マスの衝撃波を発生させます。クリティアス以外の存在は消滅します(例外あり)。"
"2871413100","HAR_Idearn_Menexenus_a","commandLabel","0","アザーサイド(不完全)"
"2871413100","HAR_Idearn_Menexenus_a","commandDesc","0","自身にダメージ軽減のバリアを展開します、再使用には3日間の時間が必要となります。"
"2871413100","HAR_Idearn_Menexenus_b","commandLabel","0","フォティアデュナミス"
"2871413100","HAR_Idearn_Menexenus_b","commandLabel","1","ナルケーデュナミス"
"2871413100","HAR_Idearn_Menexenus_b","commandLabel","2","アザーサイド(不完全)"
"2871413100","HAR_Idearn_Menexenus_b","commandDesc","0","自身を中心として半径10マスに炎をまき散らします、再使用には3日間の時間が必要となります。"
"2871413100","HAR_Idearn_Menexenus_b","commandDesc","1","自身を中心として半径10マスにEMPをまき散らします、再使用には3日間の時間が必要となります。"
"2871413100","HAR_Idearn_Menexenus_b","commandDesc","2","自身にダメージ軽減のバリアを展開します、再使用には3日間の時間が必要となります。"
"2871413100","HAR_Idearn_Theaetetus_a","commandLabel","0","アザーサイド"
"2871413100","HAR_Idearn_Theaetetus_a","commandLabel","1","シーンアウト"
"2871413100","HAR_Idearn_Theaetetus_a","commandLabel","2","ホプリゾンプラクシス"
"2871413100","HAR_Idearn_Theaetetus_a","commandDesc","0","自身にダメージ軽減のバリアを展開します、再使用には3日間の時間が必要となります。"
"2871413100","HAR_Idearn_Theaetetus_a","commandDesc","1","射程内任意のマスに瞬間移動します。"
"2871413100","HAR_Idearn_Theaetetus_a","commandDesc","2","自身と周囲の味方に身体強化を施します、再使用には3日間の時間が必要となります。"
"2871413100","HAR_Idearn_Theaetetus_b","commandLabel","0","アザーサイド"
"2871413100","HAR_Idearn_Theaetetus_b","commandLabel","1","シーンアウト"
"2871413100","HAR_Idearn_Theaetetus_b","commandLabel","2","エリスロスエクスシア"
"2871413100","HAR_Idearn_Theaetetus_b","commandLabel","3","キュアノスエクスシア"
"2871413100","HAR_Idearn_Theaetetus_b","commandDesc","0","自身にダメージ軽減のバリアを展開します、再使用には3日間の時間が必要となります。"
"2871413100","HAR_Idearn_Theaetetus_b","commandDesc","1","射程内任意のマスに瞬間移動します。"
"2871413100","HAR_Idearn_Theaetetus_b","commandDesc","2","【範囲:大規模】自身を中心として10マスのダメージフィールドを召喚します、再使用には半日間の時間が必要となります。"
"2871413100","HAR_Idearn_Theaetetus_b","commandDesc","3","【範囲:大規模】自身を中心として10マスの死の宣告フィールドを召喚します、再使用には半日の時間が必要となります。"
"2227425882","HAR_Idhale_b_Player","commandLabel","0","ツァバトシェキナ"
"2227425882","HAR_Idhale_b_Player","commandLabel","1","ハルメギド"
"2227425882","HAR_Idhale_b_Player","commandDesc","0","一回に付きツァバトシェキナを20％分解放します。100％開放状態だと復活できなくなります。"
"2227425882","HAR_Idhale_b_Player","commandDesc","1","射程内任意のマスに、被ダメージ倍率を貫通する半径5マスの衝撃波を発生させます。"
"2569091688","HAR_Littluna_c","commandLabel","0","ハローフレンド！"
"2569091688","HAR_Littluna_c","commandLabel","1","EquesFiliiDei"
